Question,Answer
How many total pre-license hours are required for an Ohio salesperson?,120 classroom hours.
How many hours of Ohio Real Estate Law are required pre-license?,40 hours.
How many hours of Principles & Practices are required pre-license?,40 hours.
How many hours of Finance are required pre-license?,20 hours.
How many hours of Appraisal are required pre-license?,20 hours.
How long is an Ohio real estate license valid?,3 years.
When does an Ohio license expire?,On the licensee’s birthday every 3 years.
How many continuing education hours are required each cycle?,30 hours every 3 years.
How many CE hours must be Ohio Core Law?,9 hours.
How many Core Law hours must be taken in the final year?,3 hours.
How many post-license hours are required for new salespersons?,20 hours within the first year.
What happens if CE is not completed by renewal?,License becomes inactive.
Can an inactive licensee practice real estate?,No.
How much active experience is required to apply for a broker license?,2 years as an active salesperson.
How many education hours are required for broker licensure?,120 broker education hours.
Who supervises a salesperson?,The broker.
Who investigates license law violations?,The Ohio Division of Real Estate.
Who conducts disciplinary hearings?,The Ohio Real Estate Commission.
What is the maximum civil penalty per violation?,Up to $2,500 per violation.
When must earnest money be deposited?,By the next banking day after receipt.
Where must a trust account be maintained?,In an Ohio financial institution.
What is commingling?,Mixing broker funds with client trust funds.
Is commingling permitted?,No.
What is conversion?,Using client trust funds for personal benefit.
How long must transaction records be retained?,3 years.
How often must trust accounts be reconciled?,Monthly.
What must happen in an escrow dispute?,Funds remain in trust until written agreement or court order.
What must appear in all advertising?,The brokerage’s licensed name.
Is blind advertising legal?,No.
Can a team name imply it is a brokerage?,No.
Does social media count as advertising?,Yes.
Must a licensee disclose ownership when selling their own property?,Yes.
Is misleading advertising permitted?,No.
What form must be given at first substantive contact?,The Consumer Guide to Agency Relationships.
What creates an agency relationship?,A written brokerage agreement.
What is dual agency?,Representing both buyer and seller with written consent.
Is dual agency permitted in Ohio?,Yes, with written informed consent.
What is designated agency?,Different salespersons in the same brokerage represent different parties.
Who owes fiduciary duties?,The licensee to their client.
What duties are owed to customers?,Honesty and fair dealing.
Does confidentiality survive closing?,Yes.
What is procuring cause?,The broker who initiates uninterrupted events leading to sale.
What is an exclusive right to sell listing?,Broker earns commission regardless of who finds buyer.
Are net listings legal in Ohio?,No.
What are dower rights?,A spouse has a one-third life estate interest in the other spouse’s real property.
Must dower be released to convey clear title?,Yes.
When do dower rights terminate?,Upon death, divorce, or proper release.
What is a land installment contract?,Buyer pays over time and receives title after full payment.
Who holds title during a land contract?,The seller.
When must a land installment contract be recorded?,Within 20 days.
Is the Ohio Property Disclosure Form required for 1–4 unit residential sales?,Yes, unless exempt.
Is the disclosure form a warranty?,No.
Are sellers required to disclose known material defects?,Yes.
Does Ohio follow caveat emptor?,Yes, except for fraud or concealment.
Must severed mineral rights be disclosed?,Yes.
Is lead-based paint disclosure required for pre-1978 homes?,Yes.
Can a broker be disciplined for failure to supervise?,Yes.
Can multiple violations result in multiple civil penalties?,Yes.
Can a license be suspended for failure to complete CE?,Yes.
